iter	Passed	Remaining
1151	6814	111491
1152	6820	111481
1153	6825	111473
1154	6831	111466
1155	6837	111455
1156	6842	111443
1157	6849	111444
1158	6854	111430
1159	6860	111419
1160	6872	111515
1161	6877	111503
1162	6883	111493
1163	6889	111482
1164	6894	111470
1165	6900	111459
1166	6905	111446
1167	6911	111437
1168	6917	111427
1169	6922	111414
1170	6928	111400
1171	6934	111394
1172	6939	111383
1173	6945	111370
1174	6950	111358
1175	6956	111348
1176	6962	111344
1177	6967	111331
1178	6973	111319
1179	6979	111315
1180	6985	111311
1181	6991	111302
1182	6996	111292
1183	7002	111280
1184	7007	111267
1185	7013	111256
1186	7018	111241
1187	7024	111230
1188	7030	111225
1189	7036	111216
1190	7041	111210
1191	7047	111196
1192	7053	111188
1193	7058	111176
1194	7064	111164
1195	7070	111160
1196	7081	111237
1197	7087	111228
1198	7093	111236
1199	7100	111237
1200	7106	111234
1201	7112	111230
1202	7118	111219
1203	7123	111204
1204	7129	111195
1205	7134	111185
1206	7140	111174
1207	7145	111162
1208	7151	111155
1209	7157	111148
1210	7163	111138
1211	7169	111132
1212	7174	111121
1213	7180	111113
1214	7185	111099
1215	7191	111087
1216	7197	111082
1217	7202	111071
1218	7208	111064
1219	7214	111051
1220	7219	111039
1221	7225	111028
1222	7230	111017
1223	7236	111005
1224	7241	110992
1225	7247	110981
1226	7253	110975
1227	7258	110963
1228	7264	110957
1229	7272	110982
1230	7279	110988
1231	7285	110985
1232	7290	110969
1233	7296	110960
1234	7302	110958
1235	7308	110948
1236	7314	110940
1237	7319	110932
1238	7326	110934
1239	7331	110924
1240	7337	110916
1241	7343	110904
1242	7348	110895
1243	7354	110892
1244	7360	110881
1245	7366	110872
1246	7372	110874
1247	7379	110888
1248	7386	110888
1249	7391	110877
1250	7397	110865
1251	7403	110856
1252	7408	110843
1253	7414	110832
1254	7419	110822
1255	7425	110811
1256	7430	110800
1257	7436	110788
1258	7441	110777
1259	7447	110771
1260	7454	110780
1261	7460	110772
1262	7466	110764
1263	7474	110792
1264	7481	110798
1265	7486	110788
1266	7492	110785
1267	7498	110771
1268	7504	110771
1269	7511	110779
1270	7518	110785
1271	7525	110797
1272	7531	110790
1273	7536	110778
1274	7542	110767
1275	7547	110757
1276	7553	110749
1277	7559	110740
1278	7564	110729
1279	7570	110723
1280	7576	110712
1281	7581	110701
1282	7587	110694
1283	7593	110691
1284	7599	110684
1285	7605	110681
1286	7611	110671
1287	7616	110659
1288	7622	110651
1289	7628	110639
1290	7633	110628
1291	7639	110617
1292	7645	110611
1293	7650	110602
1294	7656	110593
1295	7662	110586
1296	7669	110594
1297	7676	110602
1298	7682	110597
1299	7693	110674
1300	7700	110672
1301	7705	110660
1302	7711	110654
1303	7717	110642
1304	7722	110627
1305	7727	110615
1306	7733	110611
1307	7739	110601
1308	7745	110589
1309	7750	110577
1310	7756	110566
1311	7761	110557
1312	7767	110545
1313	7772	110535
1314	7778	110523
1315	7784	110522
1316	7790	110511
1317	7796	110506
1318	7801	110495
1319	7807	110482
1320	7812	110474
1321	7818	110463
1322	7823	110451
1323	7829	110443
1324	7835	110434
1325	7841	110428
1326	7846	110416
1327	7852	110411
1328	7858	110400
1329	7864	110392
1330	7869	110383
1331	7876	110395
1332	7883	110403
1333	7890	110408
1334	7896	110400
1335	7901	110388
1336	7907	110383
1337	7914	110388
1338	7921	110392
1339	7926	110381
1340	7931	110367
1341	7937	110357
1342	7943	110347
1343	7948	110339
1344	7954	110331
1345	7960	110320
1346	7965	110308
1347	7971	110296
1348	7977	110288
1349	7982	110279
1350	7988	110272
1351	7994	110262
